codigo_nbu,nombre,frecuencia,ub
660336,FACTOR DE MIGRACION LINFOCITARIA - MIF. (#),,
660337,FENILALANINA CONFIRMATORIO (HPLC),,30.0
660338,"FENILALANINA, NEONATAL (PKU)",,7.0
660340,"FENILPIRUVICO, ÁCIDO - urinario (cualitativo)",,10.0
660342,FENOTIAZINAS.,,15.0
660343,FERREMIA (Fe),,2.0
660344,"FIBRINOGENO, PRODUCTOS DE DEGRADACION - PDF - plasmático.",,30.0
660345,FIBRINOGENO - sangre.,,4.0
660349,"FISICO QUIMICO - Examen de Exudados, Trasudados.",,10.0
660350,FLUOREMIA (F),,10.0
660351,FLUORURIA.,,10.0
660352,"FOLICO, ÁCIDO.",,11.0
660353,FONDO OSCURO.,,4.0
660354,FORMULA LEUCOCITARIA.,,1.5
660355,FOSFATASA ACIDA PROSTATICA (EFM).,,5.0
660356,FOSFATASA ACIDA TOTAL (EFM).,,3.0
660357,FOSFATASA ALCALINA (FAL),,1.5
660360,FOSFATASA ALCALINA TERMOESTABLE.,,15.0
660361,FOSFATASA ALCALINA - ISOENZIMAS.,,15.0
660362,FOSFATEMIA (P),,1.5
660363,FOSFATURIA (P),,1.5
660366,FOSFORO CLEARENCE DEPURACION.,,3.0
660370,FSH - HORMONA FOLÍCULO ESTIMULANTE.,,10.0
660371,FTA/ ABS (IFI - ELISA) SIFILIS y TPHA.,,8.0
660373,"FUNCIONAL, EXAMEN DE MATERIA FECAL - básico",,30.0
660373,EXAMEN FISICO-QUIMICO Y MICROSCÓPICO DE MATERIA FECAL.,,30.0
660402,GALACTOSEMIA.,,8.0
660404,"GASES EN SANGRE, PCO2 y PO2.",,10.0
660405,"GASTRINA, sérica.",,15.0
660408,"GLOBULOS BLANCOS, RECUENTO y FORMULA - materia fecal.",,3.0
660409,"GLOBULOS BLANCOS, RECUENTO DE",,1.0
660410,"GLOBULOS ROJOS, RECUENTO DE",,1.0
660411,GLUCAGON. (#),,
660412,GLUCEMIA (C/U),,1.5
660413,"GLUCEMIA, PRUEBA de SOBRECARGA (x 2 - dos determinaciones)",,4.5
660416,GLUCOPROTEINOGRAMA. (#),,
660417,GLUCOSA en orina (C/U),,1.5
660417,GLUCOSURIA,,1.5
660418,GLUCOSA 6-FOSFATO ISOMERASA,,13.0
660418,FOSFO HEXOSA ISOMERASA - GLUCOSA 6-FOSFATO DEHIDROGENASA,,13.0
660420,GLUTAMIL TRANSPEPTIDASA. Gamma-,,2.5
660430,"GRAHAM, TEST DE",,3.0
660432,"GRASAS, CUANTITATIVO (Van de Kamer) - materia fecal",,15.0
660433,GRUPO SANGUÍNEO y FACTOR Rho - Du / Dµ,,5.0
660463,HAPTOGLOBINA.,,9.0
660464,"HEINZ, CUERPOS DE (tinción) Código D E T E R M I N A C I O N E S U. B.",,3.0
660465,"HEMATIES, RESISTENCIA GLOBULAR OSMOTICA (CURVA DE FRAGILIDAD OSMOTICA DE ERITROCITOS)",,10.0
660465,"CURVA DE FRAGILIDAD OSMOTICA DE ERITROCITOS (HEMATIES, RESISTENCIA GLOBULAR OSMOTICA)",,10.0
660466,HEMATOCRITO.,,1.0
660468,HEMOCULTIVO AEROBIOS (c/u),,10.0
660470,"HEMOGLOBINA, DOSAJE DE (Hb)",,1.0
660471,"HEMOGLOBINA, ELECTROFORESIS.",,11.0
660472,HEMOGLOBINA - plasmática,,4.0
660472,HEMOGLOBINA LIBRE,,4.0
660475,HEMOGRAMA.,,3.0
660479,HEMOSIDERINA - urinaria,,9.0
660479,HEMOSIDERINURIA,,9.0
660480,"HEPARINA, RESISTENCIA A LA (In Vitro)",,15.0
660481,HEPATOGRAMA.,,6.0
660483,HIDATIDOSIS (HAI),,4.0
660484,"HIDATIDOSIS, Ac. IgG ó Totales Anti- (IFI)",,10.0
660487,"HIDROXINDOLACETICO, ÁCIDO.",,10.0
660488,HIDROXIPROLINA - urinaria.,,12.0
660489,HIPERHEPARINEMIA. (#),,
660494,"HUDDLESSON, REACCION DE (Rosa de Bengala - Brucelosis).",,2.0
660531,"MYCOBACTERIUM, IDENTIFICACION.",,10.0
660532,IDENTIFICACION SEROLÓGICA DE GERMENES.,,6.0
660535,INMUNOELECTROFORESIS.,,10.0
660536,INMUNOELECTROFORESIS LIQUIDOS BIOLOGICOS.,,20.0
660537,INMUNOGLOBULINA A (IgA),,5.0
660538,INMUNOGLOBULINA D (IgD),,15.0
660539,INMUNOGLOBULINA E (IgE),,10.0
660540,INMUNOGLOBULINA G (IgG),,5.0
660541,INMUNOGLOBULINA M (IgM),,5.0
660543,INSULINA.,,11.0
660546,IONOGRAMA - sérico.,,3.5
660547,IONOGRAMA - urinario.,,3.5
660548,ISOCITRICO DEHIDROGENASA. (#),,
660591,"LACTAMINICO, ÁCIDO. (#)",,
660592,"LÁCTICO, ÁCIDO ENZIMATICO.",,10.0
660593,"LÁCTICO, ÁCIDO - materia fecal.",,10.0
660594,LÁCTICO DEHIDROGENASA - LDH,,3.0
660596,LÁCTICO DEHIDROGENASA ISOENZIMAS - LDH Isoenzimas.,,6.0
660597,LACTOGENO PLACENTARIO / SOMATOMAMOTROFINA,,20.0
660598,FACTOR REUMATOIDEO - ARTRITIS REUMATOIDE,,5.0
660598,PRUEBA PARA ARTRITIS REUMATOIDE,,5.0
660600,"LEPTOSPIRAS, INVESTIGACIÓN DE (fondo oscuro o coloraciones) - urinaria",,12.0
660602,"TRICHINOSIS, INVESTIGACIÓN DE",,30.0
660603,"LAZO, PRUEBA DEL",,1.0
660606,LEUCINAMINOPEPTIDASA (LAP),,10.0
660610,"LEVULINICO, ÁCIDO DELTA-AMINO",,10.0
660611,"LEVULINICO, DELTA DEHIDRATASA",,10.0
660612,LH - HORMONA LUTEINIZANTE,,10.0
660613,"LIPASA, sérica.",,5.0
660615,LIPIDOGRAMA (Electroforético).,,7.0
660619,"LIQUIDO CEFALORRAQUIDEO, Fco-Qco - Citológico.",,15.0
660620,"LIQUIDO DE PUNCION, Examen Fco-Qco - Citológico.",,15.0
660622,"LISTERIAS, Ac. Anti - (IFI - ELISA)",,9.0
660623,LITIO (Li) (ISE - Ión selectivo - Fotometría de llama o fotometría de emisión),,6.0
660624,LITIO (Li) (por Absorción Atómica - A.A.),,20.0
660653,MAGNESIO (Mg) - sérico.,,2.5
660654,MAGNESIO (Mg) - urinario.,,2.5
660656,"MANTOUX, INTRADERMO-REACCION DE (PPD)",,20.0
660656,"PPD (MANTOUX, INTRADERMO-REACCION DE) Código D E T E R M I N A C I O N E S U. B.",,20.0
660657,MEDULOGRAMA.,,9.0
660660,MERCURIO (Hg) - sérico o urinario.,,15.0
660662,METANEFRINAS FRACCIONADAS URINARIAS,,25.0
660663,METANOL - urinario.,,15.0
660664,MICOLOGIA (Directo - Coloración).,,4.0
660665,MICOLOGIA (Cultivo e Identificación).,,10.0
660667,"MOCO CERVICAL, CRISTALIZACION",,2.0
660668,"MOCO NASAL, PH - CITOLOGICO.",,2.0
660669,MONONUCLEOSIS (Aglutinación - Test de Látex o Monotest).,,3.0
660670,MONONUCLEOSIS HEMOAGLUTINACION (Paul Bunnell),,3.0
660671,MONONUCLEOSIS.,,3.0
660672,MONÓXIDO de CARBONO.,,5.0
660673,"MORFINA OPIACEOS, DERIVADOS - líquidos biológicos.",,12.0
660684,"MULTIRRESISTENCIA, VIGILANCIA DE BACTERIAS RESISTENTES",,26.0
660695,"NORADRENALINA, sérica - CATECOLAMINA",,25.0
660696,"NORADRENALINA, urinaria - CATECOLAMINA",,25.0
660702,NUCLEOTIDASA - 5' N,,4.0
660711,ORINA COMPLETA.,,3.0
660714,OSMOLARIDAD - CLEARENCE (sangre - orina),,5.0
660715,OSMOLARIDAD - suero.,,2.5
660716,"OXIGENO, PO2 - sangre arterial.",,0.0
660732,PAPANICOLAOU ENDOCERVICAL,,9.0
660734,PAPANICOLAOU EXOCERVICAL,,9.0
660736,PARASITOLOGICO en MATERIA FECAL.,,4.0
660737,PARASITOS HEMATICOS.,,6.0
660738,PARASITOS SUPERIORES.,,4.0
660739,PARATHORMONA - PTH,,13.5
660739,PARATHORMONA molécula intacta (PTH mi / PTH i),,13.5
660740,"PEROXIDASAS, TINCION",,5.0
660741,PH - líquidos biológicos.,,2.0
660742,PH - sanguíneo,,
660743,PIRUVATO- QUINASA (#),,
660744,"PIRUVICO, ÁCIDO ENZIMATICO (#)",,
660745,"PLAQUETARIOS, FACTORES",,10.0
660746,"PLAQUETAS, RECUENTO DE",,1.0
660747,"PLASMA RECALCIFICADO, TIEMPO DE",,1.0
660748,PLASMINOGENO (IDR),,5.0
660749,PLOMO (Pb) - sérico o urinario.,,20.0
660751,PORFIRINAS o UROPORFIRINAS - urinarias,,15.0
660752,PORFOBILINOGENO (cualitativo) - urinario.,,12.0
660753,POTASEMIA.,,0.0
660754,POTASURIA.,,0.0
660758,PROGESTERONA - Pg.,,11.0
660759,PROLACTINA (Prl),,10.0
660761,PROTEINA C REACTIVA - PCR,,5.0
660763,PROTEINA TOTALES.,,1.5
660764,"PROTEINOGRAMA ELECTROFORÉTICO, en suero",,5.0
660765,PROTEINOGRAMA ELECTROFORÉTICO - LCR,,33.0
660766,PROTEINOGRAMA - líquidos biológicos,,5.0
660767,PROTEINURIA.,,1.5
660768,PROTOPORFIRINAS - eritrocitaria,,12.0
660769,"PROTROMBINA, CONSUMO DE",,2.0
660770,"PROTROMBINA, RIN",,3.0
660771,"PROTROMBINA, TIEMPO DE (TP)",,2.0
660772,PSEUDOCOLINESTERASA (CHE) o BUTIRILCOLINESTERASA.,,4.0
660772,BUTIRILCOLINESTERASA - PSEUDOCOLINESTERASA,,4.0
660772,COLINESTERASA INESPECÍFICA / COLINESTERASA TIPO II,,4.0
660801,QUIMIOTRIPSINA. Código D E T E R M I N A C I O N E S U. B.,,30.0
660812,RENINA - ANGIOTESINA.,,18.0
660813,Rho FACTOR - GRUPO SANGUINEO.,,0.0
660814,Rho FACTOR C GRANDE,,2.0
660815,Rho FACTOR c CHICA,,2.0
660816,Rho FACTOR E GRANDE,,2.0
660817,Rho FACTOR e CHICA,,2.0
660818,"RETICULOCITOS, RECUENTO DE",,2.0
660820,"ROSSE RAGAN, PRUEBA DE (RR)",,2.5
660831,SALICILATOS.,,12.5
660832,"SALMONELLA, ANTICUERPOS (IFI - ELISA)",,6.0
660833,SANGRE OCULTA - materia fecal (SOMF) - inmunológico,,8.0
660835,SEROTONINA - sérica.,,24.0
660837,"SIDEROFILINA, CAPACIDAD de SATURACIÓN.",,9.0
660838,"SIMS - HUHNER, TEST DE",,20.0
660838,"ESPERMA, TEST POSCOITAL - SIMS-HUHNER",,20.0
660838,TEST POST-COITAL - TEST DE SIMS - HUBNER,,20.0
660839,SODIO - sérico o urinario.,,0.0
660841,SOMATOTROFINA (STH),,12.0
660846,"SUBTIPO HEMOGLOBINA A2, DETERMINACION DE (electroforesis)",,11.0
660847,"SUDOR, TEST DE",,15.0
660862,TALIO (Tl) - urinario.,,20.0
660863,TESTOSTERONA - To,,11.0
660864,"THORN, PRUEBA DE (#)",,
660865,TIROTROFINA - TSH,,9.0
660866,TIROXINA TOTAL - T4,,9.0
660867,TIROXINA EFECTIVA - LIBRE (FT4 / T4L),,9.0
660870,TOXOPLASMOSIS (HA),,4.0
660871,TOXOPLASMOSIS (IFI),,6.0
660873,"TRANSAMINASA, GLUTAMICO OXALACETICA (GOT / AST)",,1.5
660874,"TRANSAMINASA, GLUTAMICO PIRUVICA (GPT / AGT)",,1.5
660875,TRANSFERRINA,,6.0
660876,TRIGLICERIDOS (Tg),,2.5
660878,TRIIODOTIRONINA TOTAL - T3,,9.0
660879,"TROMBINA, PRUEBA DE GENERACIÓN DE LA",,3.0
660880,"TROMBINA, TIEMPO DE",,3.0
660887,"TROMBOPLASTINA, TIEMPO DE (KPTT / TTPC / KT)",,2.0
660901,"UREA, CLEARENCE DE",,3.0
660902,"UREA, sérica.",,1.5
660903,"URETRAL, EXUDADO (Directo y Cultivo).",,11.0
660904,"ÚRICO, ÁCIDO - sérico.",,1.5
660905,"ÚRICO, ÁCIDO - urinario.",,1.5
660907,UROCITOGRAMA,,4.0
660911,UROCULTIVO (MODULO),,15.0
660923,UROPROTEINOGRAMA,,33.0
660931,"VAGINAL, EXUDADO o FLUJO (Directo y Cultivo).",,16.0
660932,"VAINILLIN MANDELICO, ÁCIDO - urinario (AVM) (HPLC)",,15.0
660933,V D R L / USR,,4.0
660935,VARIANTE BACTERIANA. (#),,
660936,"VERONAL, PRUEBA DEL (#)",,
660937,VITAMINA A.,,37.0
660938,VITAMINA B12.,,15.0
660939,VITAMINA E.,,37.0
660940,VOLEMIA RADIOQUÍMICO. (#),,
660953,"WIDAL, REACCION DE",,4.0
660981,ZINC ERITROCITARIO - PROTOPORFIRINA.,,12.0
660982,ZINC (Zn) - sérico.,,12.0
661000,ANTIGENO PROSTATICO ESPECÍFICO TOTAL - PSA-t Código D E T E R M I N A C I O N E S U. B.,,18.0
661001,ACTO BIOQUÍMICO DE INTERNACION - (ABI),,6.0
661011,CD4 - SUB POBLACIÓN LINFOCITARIA por Citom. de flujo,,35.0
661015,CD8 - SUB POBLACIÓN LINFOCITARIA por Citom. de flujo,,35.0
661020,"CHLAMYDIAS PNEUMONIAE, Ac. Anti- IgG",,18.0
661025,"CITOMEGALOVIRUS, Ac. IgG Anti- (CMV-IgG)",,15.0
661030,"CITOMEGALOVIRUS, Ac. IgM Anti- (CMV-IgM)",,20.0
661035,COLESTEROL HDL (HDL-C),,3.0
661040,COLESTEROL LDL (LDL-C),,4.0
661045,"CREATINFOSFOQUINASA, ISOENZIMA MB (CKMB / CPKMB)",,10.0
661050,DROGAS de ABUSO SCREENING (c/u),,17.5
661050,ANFETAMINAS - urinarias,,17.5
661050,"BARBITURATOS, DROGA de ABUSO SCREENING - urinario",,17.5
661050,"BENZODIAZEPINAS, DROGA de ABUSO SCREENING - urinarias.",,17.5
661050,"CANNABINOIDES, DROGA de ABUSO SCREENING (MARIHUANA) - urinario",,17.5
661050,"COCAINA, DROGA de ABUSO SCREENING - urinario",,17.5
661050,"MARIHUANA, DROGAS de ABUSO SCREENING (CANNABINOIDES) - urinario",,17.5
661050,"OPIACEOS, DROGAS de ABUSO SCREENING - urinario",,17.5
661050,"OPIACEOS, METABOLITOS - DROGAS de ABUSO SCREENING - urinario",,17.5
661055,"EPSTEIN BARR, Ac. IgG/Totales Anti- (VEB / VCA IgG)",,15.0
661060,"EPSTEIN BARR, Ac. IgM Anti- (VEB / VCA IgM)",,20.0
661065,FRUCTOSAMINA.,,15.0
661070,HEMOGLOBINA GLICOSILADA (Hb A1C),,15.0
661075,"HEPATITIS A, Ac. IgM Anti- (HAV IgM)",,15.0
661080,"HEPATITIS B, Ac. Anti- ""Core"" IgG (HBc -IgG )",,15.0
661085,"HEPATITIS B, Antígeno e (Ag.HBe)",,15.0
661086,"HEPATITIS B, Antígeno de Superficie (Ag.HBs )",,12.0
661090,"HEPATITIS B, Ac. de Superficie Anti- (HBsAc)",,20.0
661095,"HEPATITIS C, Ac. IgG Anti- (HCV Ac IgG)",,20.0
661100,"HIDATIDOSIS, Ac. IgG ó Totales Anti- (IFI)",,22.0
661105,"HIV, CARGA VIRAL.",,160.0
661110,"HIV, WESTERN- BLOT",,100.0
661115,MARCADOR TUMORAL de OVARIO (CA 125),,20.0
661115,CA 125 (MARCADOR TUMORAL de OVARIO),,20.0
661120,MARCADOR TUMORAL de MAMA (CA 15. 3),,20.0
661120,CA 15. 3 (MARCADOR TUMORAL de MAMA),,20.0
661125,MARCADOR TUMORAL de COLON (CA 19. 9),,20.0
661125,CA 19. 9 (MARCADOR TUMORAL de COLON),,20.0
661130,MICROALBUMINURIA / ALBUMINA URINARIA,,12.5
661130,ALBUMINA URINARIA / MICROALBUMINURIA.,,12.5
661130,MAL - SINONIMA: ALBUMINA URINARIA,,12.5
661135,MONITOREO de FARMACOS para ENF. CRONICAS I (Anticonvulsivantes I),,15.0
661135,"ÁCIDO VALPROICO, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,15.0
661135,"DIFENILHIDANTOINA, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,15.0
661135,"ETOSUXIMIDA, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,15.0
661135,"FENITOINA, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,15.0
661135,"FENOBARBITAL, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,15.0
661135,"PRIMIDONA, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,15.0
661135,"TEOFILINA, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,15.0
661135,"VALPROATO LIBRE, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,15.0
661136,MONITOREO de FARMACOS para ENF. CRONICAS II (Anticonvulsivantes II) Código D E T E R M I N A C I O N E S U. B.,,24.0
661136,"AMITRIPTILINA-NORTRIPTILINA, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,24.0
661136,"BROMOZEPAN, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,24.0
661136,"CAFEÍNA, MONITOREO de FARMACOS para ENF. CRONICAS.",,24.0
661136,"CARBAMAZEPINA, 10,11-DIHIDRO,10-HIDROXI- u OXCARBAZEPINA, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,24.0
661136,"CARBAMAZEPINA, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,24.0
661136,"CLOBAZAN-DESMETILCLOBAZAN, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,24.0
661136,"CLOIMIPRAMINA, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,24.0
661136,"CLONAZEPAN, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,24.0
661136,"CLOZAPINA, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,24.0
661136,"DESMETILCLOBAZAN-CLOBAZAN, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,24.0
661136,"DIAZEPAN, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,24.0
661136,"FLUNITRAZEPAN, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,24.0
661136,"IMIPRAMINA, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,24.0
661136,"LAMOTRIGINA, MONITOREO de FARMACOS para ENF. CRONICAS.",,24.0
661136,"LORAZEPAN, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,24.0
661136,"NITRAZEPAN, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,24.0
661136,"NORTRIPTILINA-AMITRIPTILINA, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,24.0
661136,"OXCARBAZEPINA o 10,11-DIHIDRO,10-HIDROXI-CARBAMAZEPINA, MONITOREO de FÁRMACOS para ENF. CRONICAS (Anticonvulsivantes)",,24.0
661137,MONITOREO de FARMACOS para ENF. CRONICAS III (Anticonvulsivantes III),,60.0
661140,MYCOPLASMA PNEUMONIAE Ac Anti-IgG,,18.0
661142,PREPARACIÓN DE SANGRE A TRANSFUNDIR (MÓDULO TRANSFUSIONAL),,118.0
661145,"RUBEOLA, Ac. IgG Anti-",,15.0
661150,"RUBEOLA, Ac. IgM Anti-",,15.0
