codigo,nombre,equipo_actual_local,equipo_para_revision,clasificacion_para_revision,unidad_actual_local,referencia_actual_local_no_validada,observacion,fuente_oficial_plataforma_no_equivale_a_IFU,estado,fecha_consulta
FAL,Fosfatasa alcalina,CM260,CM260,POR_VERIFICAR,U/L,40 - 129 U/L,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
FERR,Ferremia,CM260,CM260,POR_VERIFICAR,µg/dL,60 - 170 µg/dL,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
GGT,GGT,CM260,CM260,POR_VERIFICAR,U/L,8 - 61 U/L,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
GLU,Glucemia,CM260,CM260,POR_VERIFICAR,mg/dL,70 - 100 mg/dL,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
GOT,GOT (AST),CM260,CM260,POR_VERIFICAR,U/L,5 - 40 U/L,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
GPT,GPT (ALT),CM260,CM260,POR_VERIFICAR,U/L,5 - 41 U/L,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
HDL,HDL colesterol,CM260,CM260,POR_VERIFICAR,mg/dL,> 40 mg/dL,Confirmar monofase AA v.2 u otra variante y aplicacion CM260.,https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
LDH,LDH,CM260,CM260,POR_VERIFICAR,U/L,125 - 220 U/L,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
LIP,Lipasa,CM260,CM260,POR_VERIFICAR,U/L,13 - 60 U/L,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
MG,Magnesemia,CM260,CM260,POR_VERIFICAR,mg/dL,1.7 - 2.4 mg/dL,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
P,Fosfatemia,CM260,CM260,POR_VERIFICAR,mg/dL,2.5 - 4.5 mg/dL,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
PCR,Proteina C Reactiva - PCR,CM260,CM260,POR_VERIFICAR,,,Confirmar reactivo/protocolo de PCR frente a PCR ultrasensible.,https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
PCR_US,Proteína C reactiva ultrasensible,CM260,CM260,POR_VERIFICAR,mg/L,< 3 mg/L,Confirmar protocolo ultrasensible y REF especifica.,https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
PROT_T,Proteinemia,CM260,CM260,POR_VERIFICAR,g/dL,6.0 - 8.0 g/dL,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
PROT_U_24,Proteinuria 24 hs,CM260,CM260,POR_VERIFICAR,mg/24 hs,< 150 mg/24 hs,"Excrecion diaria derivada: necesita concentracion, volumen y duracion de recoleccion.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
PROT_U_AZ,Proteinuria al azar,CM260,CM260,POR_VERIFICAR,mg/dL,< 20 mg/dL,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
TG,Triglicéridos,CM260,CM260,POR_VERIFICAR,mg/dL,< 150 mg/dL,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
UREA,Uremia,CM260,CM260,POR_VERIFICAR,mg/dL,15 - 45 mg/dL,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
BE_ART,Exceso de base (arterial),EDAN_I15,EDAN_I15,DERIVADO_A_CONFIRMAR,mEq/L,-2 - +2 mEq/L,Distinguir valor calculado/estimado por i15 de medicion; confirmar cartucho y salida del equipo.,https://pt.edan.com/product/e/i15.html,INVESTIGACION_NO_APLICAR,2026-09-21
BE_VEN,Exceso de base (venoso),EDAN_I15,EDAN_I15,DERIVADO_A_CONFIRMAR,mEq/L,-2 - +2 mEq/L,Distinguir valor calculado/estimado por i15 de medicion; confirmar cartucho y salida del equipo.,https://pt.edan.com/product/e/i15.html,INVESTIGACION_NO_APLICAR,2026-09-21
HCO3_ART,Bicarbonato (arterial),EDAN_I15,EDAN_I15,DERIVADO_A_CONFIRMAR,mEq/L,22 - 26 mEq/L,Distinguir valor calculado/estimado por i15 de medicion; confirmar cartucho y salida del equipo.,https://pt.edan.com/product/e/i15.html,INVESTIGACION_NO_APLICAR,2026-09-21
HCO3_VEN,Bicarbonato (venoso),EDAN_I15,EDAN_I15,DERIVADO_A_CONFIRMAR,mEq/L,22 - 26 mEq/L,Distinguir valor calculado/estimado por i15 de medicion; confirmar cartucho y salida del equipo.,https://pt.edan.com/product/e/i15.html,INVESTIGACION_NO_APLICAR,2026-09-21
PCO2_ART,pCO2 (arterial),EDAN_I15,EDAN_I15,POR_VERIFICAR,mmHg,35 - 45 mmHg,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://pt.edan.com/product/e/i15.html,INVESTIGACION_NO_APLICAR,2026-09-21
PCO2_VEN,pCO2 (venoso),EDAN_I15,EDAN_I15,POR_VERIFICAR,mmHg,40 - 50 mmHg,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://pt.edan.com/product/e/i15.html,INVESTIGACION_NO_APLICAR,2026-09-21
PH_ART,pH (arterial),EDAN_I15,EDAN_I15,POR_VERIFICAR,,7.35 - 7.45,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://pt.edan.com/product/e/i15.html,INVESTIGACION_NO_APLICAR,2026-09-21
PH_VEN,pH (venoso),EDAN_I15,EDAN_I15,POR_VERIFICAR,,7.32 - 7.42,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://pt.edan.com/product/e/i15.html,INVESTIGACION_NO_APLICAR,2026-09-21
PO2_ART,pO2 (arterial),EDAN_I15,EDAN_I15,POR_VERIFICAR,mmHg,80 - 100 mmHg,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://pt.edan.com/product/e/i15.html,INVESTIGACION_NO_APLICAR,2026-09-21
PO2_VEN,pO2 (venoso),EDAN_I15,EDAN_I15,POR_VERIFICAR,mmHg,30 - 50 mmHg,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://pt.edan.com/product/e/i15.html,INVESTIGACION_NO_APLICAR,2026-09-21
SAT_O2_ART,Sat. de O2 (arterial),EDAN_I15,EDAN_I15,DERIVADO_A_CONFIRMAR,%,95 - 100 %,Distinguir valor calculado/estimado por i15 de medicion; confirmar cartucho y salida del equipo.,https://pt.edan.com/product/e/i15.html,INVESTIGACION_NO_APLICAR,2026-09-21
SAT_O2_VEN,Sat. de O2 (venoso),EDAN_I15,EDAN_I15,DERIVADO_A_CONFIRMAR,%,60 - 85 %,Distinguir valor calculado/estimado por i15 de medicion; confirmar cartucho y salida del equipo.,https://pt.edan.com/product/e/i15.html,INVESTIGACION_NO_APLICAR,2026-09-21
CA_ION,Calcio iónico,ERBA_EC90,ERBA_EC90,POR_VERIFICAR,mmol/L,1.12 - 1.32 mmol/L,Calcio ionizado; confirmar cartucho y matriz. Distinto de calcio total.,https://electrolyte-analyser-ec90.erbamannheim.com/getmedia/d744ee42-d908-4fef-b3cc-03cd33bbbde9/Erba_EC90_brochure_LIT-30-001_2022_1.pdf.aspx,INVESTIGACION_NO_APLICAR,2026-09-21
CL,Cloro,ERBA_EC90,ERBA_EC90,POR_VERIFICAR,mEq/L,98 - 106 mEq/L,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://electrolyte-analyser-ec90.erbamannheim.com/getmedia/d744ee42-d908-4fef-b3cc-03cd33bbbde9/Erba_EC90_brochure_LIT-30-001_2022_1.pdf.aspx,INVESTIGACION_NO_APLICAR,2026-09-21
K,Potasio,ERBA_EC90,ERBA_EC90,POR_VERIFICAR,mEq/L,3.5 - 5.1 mEq/L,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://electrolyte-analyser-ec90.erbamannheim.com/getmedia/d744ee42-d908-4fef-b3cc-03cd33bbbde9/Erba_EC90_brochure_LIT-30-001_2022_1.pdf.aspx,INVESTIGACION_NO_APLICAR,2026-09-21
NA,Sodio,ERBA_EC90,ERBA_EC90,POR_VERIFICAR,mEq/L,136 - 145 mEq/L,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://electrolyte-analyser-ec90.erbamannheim.com/getmedia/d744ee42-d908-4fef-b3cc-03cd33bbbde9/Erba_EC90_brochure_LIT-30-001_2022_1.pdf.aspx,INVESTIGACION_NO_APLICAR,2026-09-21
CPK_MB,CPK-MB,FINECARE,FINECARE,POR_VERIFICAR,ng/mL,< 5 ng/mL,Confirmar masa del panel Finecare; distinguir CK-MB actividad y duplicado CKMB.,https://es.wondfo.com/pt/index278.html,INVESTIGACION_NO_APLICAR,2026-09-21
DDIM,Dímero D,FINECARE,FINECARE,POR_VERIFICAR,µg/mL,< 0.5 µg/mL,Confirmar W211/one-step y FEU o DDU; no copiar la convencion de otro fabricante.,https://es.wondfo.com/pt/index278.html,INVESTIGACION_NO_APLICAR,2026-09-21
HBA1C,Hemoglobina glicosilada (HbA1c),FINECARE,FINECARE,POR_VERIFICAR,%,4.0 - 6.0 %,"Distinguir % DCCT, mmol/mol IFCC y eAG; revisar criterios de interpretacion.",https://es.wondfo.com/pt/index278.html,INVESTIGACION_NO_APLICAR,2026-09-21
MICROALB,Microalbuminuria,FINECARE,FINECARE,POR_VERIFICAR,mg/L,< 30 mg/L,Concentracion en orina; no equivale a mg/24h ni cociente albumina/creatinina. Confirmar IFU MAU.,https://es.wondfo.com/pt/index278.html,INVESTIGACION_NO_APLICAR,2026-09-21
MIOG,Mioglobina,FINECARE,FINECARE,POR_VERIFICAR,ng/mL,< 90 ng/mL,Referencia publica difiere del limite local; confirmar REF/IFU.,https://es.wondfo.com/pt/index278.html,INVESTIGACION_NO_APLICAR,2026-09-21
PROBNP,Pro-BNP,,FINECARE,POR_VERIFICAR,pg/mL,< 125 pg/mL,Sin equipo: asociacion propuesta segun usuario; confirmar NT-proBNP y resolver duplicado NTPROBNP.,https://es.wondfo.com/pt/index278.html,INVESTIGACION_NO_APLICAR,2026-09-21
TROP_I,Troponina I,FINECARE,FINECARE,POR_VERIFICAR,ng/mL,< 0.04 ng/mL,Confirmar REF del panel Finecare y su limite; diferente de TNHS VIDAS.,https://es.wondfo.com/pt/index278.html,INVESTIGACION_NO_APLICAR,2026-09-21
BAS,Basófilos,SYSMEX_XP300,SYSMEX_XP300,POR_VERIFICAR,%,0 - 1 %,El diferencial XP-300 de tres partes no informa basofilos separados; revisar carga manual.,https://www.sysmex.com.au/product/xp-300/,INVESTIGACION_NO_APLICAR,2026-09-21
CHCM,Concentración de Hb corpuscular media,SYSMEX_XP300,SYSMEX_XP300,POR_VERIFICAR,g/dL,32 - 36 g/dL,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.sysmex.com.au/product/xp-300/,INVESTIGACION_NO_APLICAR,2026-09-21
EOS,Eosinófilos,SYSMEX_XP300,SYSMEX_XP300,POR_VERIFICAR,%,1 - 4 %,El diferencial XP-300 de tres partes no informa eosinofilos separados; revisar carga manual.,https://www.sysmex.com.au/product/xp-300/,INVESTIGACION_NO_APLICAR,2026-09-21
HCM,Hemoglobina corpuscular media,,SYSMEX_XP300,POR_VERIFICAR,pg,27 - 32 pg,Sin equipo; revisar representacion del MCH medido/calculado por XP-300.,https://www.sysmex.com.au/product/xp-300/,INVESTIGACION_NO_APLICAR,2026-09-21
HEMATIES,Hematíes,SYSMEX_XP300,SYSMEX_XP300,POR_VERIFICAR,mill/mm³,4.0 - 5.5 mill/mm³,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.sysmex.com.au/product/xp-300/,INVESTIGACION_NO_APLICAR,2026-09-21
HGB,Hemoglobina,SYSMEX_XP300,SYSMEX_XP300,POR_VERIFICAR,g/dL,12 - 16 g/dL,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.sysmex.com.au/product/xp-300/,INVESTIGACION_NO_APLICAR,2026-09-21
HTO,Hematocrito (RW),SYSMEX_XP300,SYSMEX_XP300,POR_VERIFICAR,%,36 - 48 %,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.sysmex.com.au/product/xp-300/,INVESTIGACION_NO_APLICAR,2026-09-21
LEUCO,Leucocitos,SYSMEX_XP300,SYSMEX_XP300,POR_VERIFICAR,/mm³,4000 - 10000 /mm³,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.sysmex.com.au/product/xp-300/,INVESTIGACION_NO_APLICAR,2026-09-21
LINF,Linfocitos,SYSMEX_XP300,SYSMEX_XP300,POR_VERIFICAR,%,20 - 45 %,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.sysmex.com.au/product/xp-300/,INVESTIGACION_NO_APLICAR,2026-09-21
MONO,Monocitos,SYSMEX_XP300,SYSMEX_XP300,POR_VERIFICAR,%,2 - 10 %,No usar MXD del XP-300 como MONO; separar formula manual y diferencial automatizado.,https://www.sysmex.com.au/product/xp-300/,INVESTIGACION_NO_APLICAR,2026-09-21
NEUT_CAY,Neutrófilos cayados,SYSMEX_XP300,SYSMEX_XP300,POR_VERIFICAR,%,0 - 5 %,No atribuir cayados a salida automatica XP-300; revisar formula manual.,https://www.sysmex.com.au/product/xp-300/,INVESTIGACION_NO_APLICAR,2026-09-21
NEUT_SEG,Neutrófilos segmentados,SYSMEX_XP300,SYSMEX_XP300,POR_VERIFICAR,%,40 - 70 %,Distinguir NEUT automatico del XP-300 de segmentados de formula manual.,https://www.sysmex.com.au/product/xp-300/,INVESTIGACION_NO_APLICAR,2026-09-21
PLAQ,Plaquetas,SYSMEX_XP300,SYSMEX_XP300,POR_VERIFICAR,/mm³,150000 - 450000 /mm³,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.sysmex.com.au/product/xp-300/,INVESTIGACION_NO_APLICAR,2026-09-21
RDW,RDW,SYSMEX_XP300,SYSMEX_XP300,POR_VERIFICAR,%,11.5 - 14.5 %,Identificar RDW-CV frente a RDW-SD y su unidad.,https://www.sysmex.com.au/product/xp-300/,INVESTIGACION_NO_APLICAR,2026-09-21
VCM,Volumen corpuscular medio,SYSMEX_XP300,SYSMEX_XP300,POR_VERIFICAR,fL,80 - 100 fL,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.sysmex.com.au/product/xp-300/,INVESTIGACION_NO_APLICAR,2026-09-21
B12,Vitamina B12,,VIDAS_KUBE,POR_VERIFICAR,pg/mL,200 - 900 pg/mL,Sin equipo: asociacion propuesta segun usuario; confirmar ensayo VB12 y metodo ELFA.,https://www.biomerieux.com/content/dam/biomerieux-com/03----our-offer/clinical/in-hospital--in-lab/products/vidas-range/documents/vidas-assays-practical-information.pdf,INVESTIGACION_NO_APLICAR,2026-09-21
FERRIT,Ferritina,VIDAS_KUBE,VIDAS_KUBE,POR_VERIFICAR,ng/mL,12 - 300 ng/mL,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.biomerieux.com/content/dam/biomerieux-com/03----our-offer/clinical/in-hospital--in-lab/products/vidas-range/documents/vidas-assays-practical-information.pdf,INVESTIGACION_NO_APLICAR,2026-09-21
PSA,PSA,VIDAS_KUBE,VIDAS_KUBE,POR_VERIFICAR,ng/mL,< 4 ng/mL,Confirmar PSA total; separar de PSA libre.,https://www.biomerieux.com/content/dam/biomerieux-com/03----our-offer/clinical/in-hospital--in-lab/products/vidas-range/documents/vidas-assays-practical-information.pdf,INVESTIGACION_NO_APLICAR,2026-09-21
T3,T3,VIDAS_KUBE,VIDAS_KUBE,POR_VERIFICAR,ng/dL,80 - 200 ng/dL,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.biomerieux.com/content/dam/biomerieux-com/03----our-offer/clinical/in-hospital--in-lab/products/vidas-range/documents/vidas-assays-practical-information.pdf,INVESTIGACION_NO_APLICAR,2026-09-21
T4,T4,VIDAS_KUBE,VIDAS_KUBE,POR_VERIFICAR,µg/dL,4.5 - 12.0 µg/dL,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.biomerieux.com/content/dam/biomerieux-com/03----our-offer/clinical/in-hospital--in-lab/products/vidas-range/documents/vidas-assays-practical-information.pdf,INVESTIGACION_NO_APLICAR,2026-09-21
T4L,T4 libre,VIDAS_KUBE,VIDAS_KUBE,POR_VERIFICAR,ng/dL,0.8 - 1.8 ng/dL,La tabla oficial publica unidad inconsistente; resolver con IFU FT4N.,https://www.biomerieux.com/content/dam/biomerieux-com/03----our-offer/clinical/in-hospital--in-lab/products/vidas-range/documents/vidas-assays-practical-information.pdf,INVESTIGACION_NO_APLICAR,2026-09-21
TROP_US,Troponina I ultrasensible,VIDAS_KUBE,VIDAS_KUBE,POR_VERIFICAR,ng/L,< 14 ng/L,Contrastar limite local con IFU TNHS; no intercambiar con troponina I Finecare.,https://www.biomerieux.com/content/dam/biomerieux-com/03----our-offer/clinical/in-hospital--in-lab/products/vidas-range/documents/vidas-assays-practical-information.pdf,INVESTIGACION_NO_APLICAR,2026-09-21
TSH,TSH,VIDAS_KUBE,VIDAS_KUBE,POR_VERIFICAR,µUI/mL,0.4 - 4.0 µUI/mL,Confirmar TSH o TSH3; no comparten necesariamente protocolo/rango.,https://www.biomerieux.com/content/dam/biomerieux-com/03----our-offer/clinical/in-hospital--in-lab/products/vidas-range/documents/vidas-assays-practical-information.pdf,INVESTIGACION_NO_APLICAR,2026-09-21
VITD,Vitamina D,,VIDAS_KUBE,POR_VERIFICAR,ng/mL,30 - 100 ng/mL,Sin equipo: asociacion propuesta segun usuario; confirmar 25 OH total y metodo ELFA.,https://www.biomerieux.com/content/dam/biomerieux-com/03----our-offer/clinical/in-hospital--in-lab/products/vidas-range/documents/vidas-assays-practical-information.pdf,INVESTIGACION_NO_APLICAR,2026-09-21
