ID foto,Producto (etiqueta),Fabricante / marca,REF comercial,Lote,Vencimiento (etiqueta),Conservación (etiqueta),Contenido / presentación,Clase,Estado revisión,Observaciones y dudas,Imagen original,Imagen ZIP renombrado
28,ERBA NORM 4x5,Erba,BLT00080,,,2 a 8 °C,4 x 5 mL,Control,TRANSCRITO / VALIDAR,Lote/vencimiento ilegibles,WhatsApp Image 2026-09-23 at 16.19.33 (1).jpeg,Erba_Norm_4x5.jpeg
29,BG10,Edan,69444138,2512374GAFR,2027-02-24,2 a 8 °C,,Consumible equipo,REVISAR,"Cartucho de gases/electrolitos: pH, pCO2, pO2, Na, K, Ca, Cl, Glu, Lac; REF exacta a confirmar",WhatsApp Image 2026-09-23 at 16.19.33 (2).jpeg,Erba_BG10_calibration_gas.jpeg
30,ERBA PATH 4x5,Erba,BLT00081,,,2 a 8 °C,4 x 5 mL,Control,TRANSCRITO / VALIDAR,Lote/vencimiento ilegibles,WhatsApp Image 2026-09-23 at 16.19.33.jpeg,Erba_Path_4x5.jpeg
31,VIDAS T3,bioMérieux,30403,1011553200,2027-03-09,2 a 8 °C,,Kit inmunoensayo,REVISAR,REF/lote/vencimiento requieren cotejo visual,WhatsApp Image 2026-09-23 at 16.19.34 (1).jpeg,VIDAS_T3.jpeg
32,VIDAS T4,bioMérieux,30404,1011550260,2027-02-28,2 a 8 °C,STR 60; SPR 2 x 30,Kit inmunoensayo,TRANSCRITO / VALIDAR,Contenido parcial,WhatsApp Image 2026-09-23 at 16.19.34 (2).jpeg,VIDAS_T4.jpeg
33,VIDAS TSH,bioMérieux,30400,1011850540,2027-02-18,2 a 8 °C,STR 60; SPR 2 x 30,Kit inmunoensayo,TRANSCRITO / VALIDAR,Contenido parcial,WhatsApp Image 2026-09-23 at 16.19.34.jpeg,VIDAS_TSH.jpeg
34,VIDAS TPSA,bioMérieux,30428,1011718960,2026-11-19,2 a 8 °C,STR 60; SPR 2 x 30,Kit inmunoensayo,TRANSCRITO / VALIDAR,Antígeno prostático total; contenido parcial,WhatsApp Image 2026-09-23 at 16.19.35 (1).jpeg,VIDAS_TPSA.jpeg
35,VIDAS FT4,bioMérieux,30459,1011810760,2027-02-02,2 a 8 °C,,Kit inmunoensayo,REVISAR,Lote requiere cotejo visual,WhatsApp Image 2026-09-23 at 16.19.35.jpeg,VIDAS_FT4.jpeg
36,VIDAS High sensitive Troponin I,bioMérieux,415386,1011783200,2027-04-22,2 a 8 °C,STR 60; SPR 2 x 30,Kit inmunoensayo,TRANSCRITO / VALIDAR,Troponina I de alta sensibilidad; contenido parcial,WhatsApp Image 2026-09-23 at 16.19.36 (1).jpeg,VIDAS_high_sensitive_Troponin_I.jpeg
37,VIDAS Ferritin,bioMérieux,30411,1011641190,2026-12-22,2 a 8 °C,STR 60; SPR 2 x 30,Kit inmunoensayo,TRANSCRITO / VALIDAR,Contenido parcial,WhatsApp Image 2026-09-23 at 16.19.36.jpeg,VIDAS_Ferritin.jpeg
38,Colestat enzimático AA líquida,Wiener lab.,1008157,LDK1027100,2027-10,2 a 10 °C,A 6 x 55 mL,Reactivo,TRANSCRITO / VALIDAR,,WhatsApp Image 2026-09-23 at 16.19.37 (1).jpeg,Colestat_enzimatico_AA_Wiener.jpeg
39,Ca-Color Arsenazo III AA,Wiener lab.,1008162,LDK0627100,2027-10,2 a 10 °C,A 2 x 55 mL,Reactivo,TRANSCRITO / VALIDAR,PM-1102-4209,WhatsApp Image 2026-09-23 at 16.19.37 (2).jpeg,Calcio_color_Arsenazo_III_AA_Wiener.jpeg
40,Proti U/LCR,Wiener lab.,1690007,2506614900,2027-02,2 a 10 °C,A 1 x 100 mL; S 1 x 4 mL,Reactivo,REVISAR,ANMAT PM 1102-1128; lote/vencimiento cotejar,WhatsApp Image 2026-09-23 at 16.19.37.jpeg,Proti_U_LCR_Wiener.jpeg
41,LDH-P UV AA líquida,Wiener lab.,1008114,LDK2727020,2027-02,2 a 10 °C,A 2 x 36 mL; B 2 x 9 mL,Reactivo,TRANSCRITO / VALIDAR,ANMAT PM 1102-207,WhatsApp Image 2026-09-23 at 16.19.38.jpeg,LDH_P_UV_AA_Wiener.jpeg
42,γ-GT test cinética AA líquida,Wiener lab.,1008113,LDK1727060,2027-06,2 a 10 °C,A 2 x 36 mL; B 2 x 9 mL,Reactivo,REVISAR,ANMAT PM 1102-19; lote/vencimiento cotejar,WhatsApp Image 2026-09-23 at 16.19.39 (1).jpeg,Gamma_GT_cinetica_AA_Wiener.jpeg
43,Albúmina AA,Wiener lab.,1008156,LDK0129030,2029-03,2 a 25 °C,A 3 x 40 mL,Reactivo,TRANSCRITO / VALIDAR,,WhatsApp Image 2026-09-23 at 16.19.39.jpeg,Albumina_AA_Wiener.jpeg
44,Uricostat enzimático AA líquida,Wiener lab.,1008109,3626080,2026-08,2 a 10 °C,A 4 x 36 mL; B 2 x 9 mL,Reactivo,VENCIDO / REVISAR,VENCIDO según etiqueta; lote cotejar,WhatsApp Image 2026-09-23 at 16.19.40.jpeg,Uricostat_enzimatico_AA_Wiener.jpeg
45,Proti U/LCR,Wiener lab.,1690007,2506645020,2026-11,2 a 10 °C,A 1 x 100 mL; S 1 x 4 mL,Reactivo,TRANSCRITO / VALIDAR,"ANMAT PM 1102-1128; mismo REF que foto 40, distinto lote",WhatsApp Image 2026-09-23 at 16.19.41 (1).jpeg,Proti_U_LCR_Wiener_02.jpeg
46,Fer-color AA líquida,Wiener lab.,1008122,LDK1327080,2027-08,2 a 10 °C,A 2 x 35 mL; B 3 x 7 mL,Reactivo,TRANSCRITO / VALIDAR,ANMAT PM 1102-27,WhatsApp Image 2026-09-23 at 16.19.41.jpeg,Fer_color_AA_Wiener.jpeg
47,Urea UV cinética AA líquida,Wiener lab.,1008108,LDK3527110,2027-11,2 a 10 °C,A 4 x 36 mL; B 4 x 9 mL,Reactivo,TRANSCRITO / VALIDAR,ANMAT PM 1102-156,WhatsApp Image 2026-09-23 at 16.19.42 (1).jpeg,Urea_UV_cinetica_AA_Wiener.jpeg
48,HDL Cholesterol fast,Wiener lab.,1008102,LDK2328010,2028-01,2 a 10 °C,A 3 x 30 mL; B 3 x 10 mL,Reactivo,REVISAR,Contenido cotejar,WhatsApp Image 2026-09-23 at 16.19.42.jpeg,HDL_Cholesterol_fast_Wiener.jpeg
49,Urea UV cinética AA líquida,Wiener lab.,1008108,LDK3527080,2027-08,2 a 10 °C,A 4 x 36 mL; B 4 x 9 mL,Reactivo,TRANSCRITO / VALIDAR,"Mismo REF que foto 47, distinto lote",WhatsApp Image 2026-09-23 at 16.19.43.jpeg,Urea_UV_cinetica_AA_Wiener_02.jpeg
50,ALP 405 AA líquida,Wiener lab.,1008110,LDK0227080,2027-08,2 a 10 °C,A 2 x 36 mL; B 2 x 9 mL,Reactivo,TRANSCRITO / VALIDAR,,WhatsApp Image 2026-09-23 at 16.19.44 (1).jpeg,ALP_405_AA_Wiener.jpeg
51,Bilirrubina Directa AA líquida,Wiener lab.,1008116,LDK0427090,2027-09,2 a 10 °C,A 4 x 35 mL; B 2 x 7 mL,Reactivo,REVISAR,Contenido cotejar,WhatsApp Image 2026-09-23 at 16.19.44 (2).jpeg,Bilirrubina_directa_AA_Wiener.jpeg
52,CK-NAC UV AA líquida,Wiener lab.,1008119,LDK0927070,2027-07,2 a 10 °C,A 4 x 35 mL; B 4 x 7 mL,Reactivo,TRANSCRITO / VALIDAR,,WhatsApp Image 2026-09-23 at 16.19.44.jpeg,CK_NAC_UV_AA_Wiener.jpeg
53,GPT (ALT) UV AA líquida,Wiener lab.,1008112,LDK2127120,2027-12,2 a 10 °C,A 4 x 36 mL; B 4 x 9 mL,Reactivo,TRANSCRITO / VALIDAR,ANMAT PM 1102-203,WhatsApp Image 2026-09-23 at 16.19.45 (1).jpeg,GPT_ALT_UV_AA_Wiener.jpeg
54,Bilirrubina Total AA líquida,Wiener lab.,1008115,LDK0527100,2027-10,2 a 10 °C,A 4 x 35 mL; B 4 x 7 mL,Reactivo,REVISAR,Contenido cotejar,WhatsApp Image 2026-09-23 at 16.19.45.jpeg,Bilirrubina_total_AA_Wiener.jpeg
55,CRP hs Turbitest AA,Wiener lab.,1008100,LDK5827091,2027-09,2 a 10 °C,A 1 x 22 mL; B 1 x 22 mL,Reactivo,TRANSCRITO / VALIDAR,ANMAT PM 1102-136,WhatsApp Image 2026-09-23 at 16.19.46 (1).jpeg,CRP_hs_Turbtest_AA_Wiener.jpeg
56,UIBC/TIBC AA líquida,Wiener lab.,1492361,2508655580,2027-01,2 a 10 °C,A 1 x 50 mL; B 1 x 10 mL; S 1 x 5 mL,Reactivo,REVISAR,ANMAT PM 1102-28; contenido cotejar,WhatsApp Image 2026-09-23 at 16.19.46 (2).jpeg,UIBC_TIBC_AA_Wiener.jpeg
57,GOT (AST) UV AA líquida,Wiener lab.,1008111,LDK2027071,2027-07,2 a 10 °C,A 4 x 36 mL; B 4 x 9 mL,Reactivo,TRANSCRITO / VALIDAR,ANMAT PM 1102-202,WhatsApp Image 2026-09-23 at 16.19.46.jpeg,GOT_AST_UV_AA_Wiener.jpeg
58,TG Color GPO/PAP AA líquida,Wiener lab.,1008160,LDK3327110,2027-11,2 a 10 °C,A 6 x 55 mL,Reactivo,TRANSCRITO / VALIDAR,ANMAT PM 1102-155,WhatsApp Image 2026-09-23 at 16.19.47 (1).jpeg,TG_Color_GPO_PAP_AA_Wiener.jpeg
59,UIBC/TIBC AA líquida,Wiener lab.,1492361,2512667690,2027-04,2 a 10 °C,A 1 x 50 mL; B 1 x 10 mL; S 1 x 5 mL,Reactivo,REVISAR,"Mismo REF que foto 56, distinto lote; contenido cotejar",WhatsApp Image 2026-09-23 at 16.19.47.jpeg,UIBC_TIBC_AA_Wiener_02.jpeg
60,Glicemia enzimática AA líquida,Wiener lab.,1008158,LDK1827070,2027-07,2 a 10 °C,A 6 x 55 mL,Reactivo,TRANSCRITO / VALIDAR,ANMAT PM 1102-153,WhatsApp Image 2026-09-23 at 16.19.48 (1).jpeg,Glicemia_enzimatica_AA_Wiener.jpeg
61,Mg-color AA,Wiener lab.,1580001,2602677040,2027-08,<25 °C,A 2 x 50 mL; S 1 x 4 mL,Reactivo,TRANSCRITO / VALIDAR,ANMAT PM 1102-209,WhatsApp Image 2026-09-23 at 16.19.48.jpeg,Mg_color_AA_Wiener.jpeg
